plan,market,persona,current_count,target_count,gap_count,gap_percentage,urgency_level,recommended_action,timeframe,strategic_reason
60-Day Plan,LATAM_USD,Hiring Manager,0,50,50,100,Critical,"URGENT: Search LinkedIn for Hiring Manager in LATAM_USD. Send 5-10 personalized connection requests daily. Use keywords: remote data engineering, nearshore, LATAM, data platform.",45d,Hiring managers at LATAM companies paying USD compensation
60-Day Plan,US_CANADA_NEARSHORE,Data Engineering Manager,0,30,30,100,Critical,"URGENT: Search LinkedIn for Data Engineering Manager in US_CANADA_NEARSHORE. Send 5-10 personalized connection requests daily. Use keywords: remote data engineering, nearshore, LATAM, data platform.",45d,DE managers who manage remote LATAM data teams
60-Day Plan,LATAM_USD,Data Engineering Manager,0,30,30,100,Critical,"URGENT: Search LinkedIn for Data Engineering Manager in LATAM_USD. Send 5-10 personalized connection requests daily. Use keywords: remote data engineering, nearshore, LATAM, data platform.",45d,DE managers at LATAM-USD companies that value remote data engineers
60-Day Plan,SPAIN_EU,Recruiter,2,80,78,98,Critical,"URGENT: Search LinkedIn for Recruiter in SPAIN_EU. Send 5-10 personalized connection requests daily. Use keywords: remote data engineering, nearshore, LATAM, data platform.",60d,Spanish/EU recruiters who place international data engineering candidates
60-Day Plan,US_CANADA_NEARSHORE,Hiring Manager,6,50,44,88,Critical,"URGENT: Search LinkedIn for Hiring Manager in US_CANADA_NEARSHORE. Send 5-10 personalized connection requests daily. Use keywords: remote data engineering, nearshore, LATAM, data platform.",45d,Decision-makers at companies with active LATAM remote hiring
60-Day Plan,SPAIN_EU,Talent Acquisition,12,60,48,80,Critical,"URGENT: Search LinkedIn for Talent Acquisition in SPAIN_EU. Send 5-10 personalized connection requests daily. Use keywords: remote data engineering, nearshore, LATAM, data platform.",60d,TA professionals at Spain/EU tech companies open to international hires
60-Day Plan,US_CANADA_NEARSHORE,Recruiter,17,80,63,79,High,HIGH: Prioritize Recruiter in US_CANADA_NEARSHORE. Send 3-5 connection requests daily. Engage with their posts before connecting.,30d,US/Canada recruiters who place LATAM contractors in USD-paying roles
60-Day Plan,US_CANADA_NEARSHORE,Talent Acquisition,19,60,41,68,High,HIGH: Prioritize Talent Acquisition in US_CANADA_NEARSHORE. Send 3-5 connection requests daily. Engage with their posts before connecting.,30d,TA teams at nearshore-friendly US/Canada tech companies
60-Day Plan,LATAM_USD,Talent Acquisition,47,60,13,22,Low,"LOW: Continue organic growth for Talent Acquisition in LATAM_USD. Accept inbound connections, no proactive push needed.",30d,TA specialists at LATAM companies that hire remote contractors
60-Day Plan,LATAM_USD,Recruiter,37,80,43,54,Medium,MEDIUM: Add Recruiter in LATAM_USD to your weekly outreach rotation. 2-3 connections per week is sufficient.,30d,Direct pipeline for USD remote jobs from Brazil via LATAM staffing firms
