company_name,normalized_company,current_bucket,suggested_bucket,suggested_category,confidence,manual_review_required,matched_connection_count,matched_recruiters,matched_talent_acquisition,matched_hiring_managers,matched_data_leaders,matched_top_contacts,matched_untapped_contacts,matched_lead_reactivation_contacts,matched_inbound_opportunities,matched_usd_crm_leads,matched_soft_closed_leads,followed_company_signal,recently_followed_signal,message_history_signal,opportunity_history_signal,usd_signal,latam_signal,us_canada_signal,spain_eu_signal,global_staffing_signal,global_consulting_signal,reason_short,impact_if_mapped,priority_score,yaml_suggestion
QuintoAndar,quintoandar,NEEDS_COMPANY_MAPPING,GLOBAL_OPPORTUNITY,,0.55,True,13,0,0,1,0,0,9,4,0,1,0,False,False,True,True,False,False,False,False,False,False,"recruiter/TA or opportunity-history signal present, region unresolved",10,125,"  ""quintoandar"": {market: GLOBAL_OPPORTUNITY_UNRESOLVED_REGION, category: GLOBAL_OPPORTUNITY}"
DIS AG,dis,NEEDS_COMPANY_MAPPING,GLOBAL_OPPORTUNITY,,0.55,True,10,1,0,0,0,0,8,2,0,0,0,False,False,True,True,False,False,False,False,False,False,"recruiter/TA or opportunity-history signal present, region unresolved",9,107,"  ""dis ag"": {market: GLOBAL_OPPORTUNITY_UNRESOLVED_REGION, category: GLOBAL_OPPORTUNITY}"
Shopee,shopee,NEEDS_COMPANY_MAPPING,GLOBAL_OPPORTUNITY,,0.55,True,10,0,0,0,1,0,7,3,0,1,0,False,False,True,True,False,False,False,False,False,False,"recruiter/TA or opportunity-history signal present, region unresolved",6,80,"  ""shopee"": {market: GLOBAL_OPPORTUNITY_UNRESOLVED_REGION, category: GLOBAL_OPPORTUNITY}"
SAUTER,sauter,NEEDS_COMPANY_MAPPING,GLOBAL_OPPORTUNITY,,0.55,True,6,0,1,0,0,0,1,5,0,4,0,False,False,True,True,False,False,False,False,False,False,"recruiter/TA or opportunity-history signal present, region unresolved",4,71,"  ""sauter"": {market: GLOBAL_OPPORTUNITY_UNRESOLVED_REGION, category: GLOBAL_OPPORTUNITY}
  ""sauter"": {market: GLOBAL_OPPORTUNITY_UNRESOLVED_REGION, category: GLOBAL_OPPORTUNITY}"
EloGroup,elogroup,NEEDS_COMPANY_MAPPING,GLOBAL_OPPORTUNITY,,0.55,True,10,0,0,0,1,0,8,2,0,0,0,False,False,True,True,False,False,False,False,False,False,"recruiter/TA or opportunity-history signal present, region unresolved",5,65,"  ""elogroup"": {market: GLOBAL_OPPORTUNITY_UNRESOLVED_REGION, category: GLOBAL_OPPORTUNITY}"
Cadastra,cadastra,NEEDS_COMPANY_MAPPING,GLOBAL_OPPORTUNITY,,0.55,True,9,0,2,0,0,0,8,1,0,1,0,False,False,True,True,False,False,False,False,False,False,"recruiter/TA or opportunity-history signal present, region unresolved",4,62,"  ""cadastra"": {market: GLOBAL_OPPORTUNITY_UNRESOLVED_REGION, category: GLOBAL_OPPORTUNITY}"
Grupo MAG,grupo mag,NEEDS_COMPANY_MAPPING,GLOBAL_OPPORTUNITY,,0.55,True,6,0,0,0,0,0,5,1,0,1,0,False,False,True,True,False,False,False,False,False,False,"recruiter/TA or opportunity-history signal present, region unresolved",5,61,"  ""grupo mag"": {market: GLOBAL_OPPORTUNITY_UNRESOLVED_REGION, category: GLOBAL_OPPORTUNITY}"
NUMEN,numen,NEEDS_COMPANY_MAPPING,GLOBAL_OPPORTUNITY,,0.55,True,6,0,0,0,0,0,3,3,0,0,0,False,False,True,True,False,False,False,False,False,False,"recruiter/TA or opportunity-history signal present, region unresolved",5,59,"  ""numen"": {market: GLOBAL_OPPORTUNITY_UNRESOLVED_REGION, category: GLOBAL_OPPORTUNITY}"
Datum,datum,NEEDS_COMPANY_MAPPING,GLOBAL_OPPORTUNITY,,0.55,True,11,0,1,0,1,0,8,3,0,2,0,False,False,True,True,False,False,False,False,False,False,"recruiter/TA or opportunity-history signal present, region unresolved",3,59,"  ""datum"": {market: GLOBAL_OPPORTUNITY_UNRESOLVED_REGION, category: GLOBAL_OPPORTUNITY}"
Progressive Recruitment,progressive recruitment,NEEDS_COMPANY_MAPPING,GLOBAL_STAFFING,GLOBAL_STAFFING,0.8,True,5,0,0,0,0,0,4,1,0,0,0,False,False,True,True,False,False,False,False,True,False,staffing/recruiting keyword in company name,5,56,"  ""progressive recruitment"": {market: GLOBAL_STAFFING, category: GLOBAL_STAFFING}"
